project_id,mode,route_id,direction_id,stop_id,stop_name_from,stop_sequence,location
1,trenes,35,1,294,ING. OTAMENDI,4,CABA
1,trenes,35,1,335,RIO LUJAN,5,CABA
1,trenes,35,1,130,ESCOBAR,6,CABA
1,trenes,35,1,263,ING. MASCHWITZ,7,CABA
1,trenes,35,1,37,BENAVIDEZ,8,CABA
2,trenes,25,0,93,PLAZA CONSTITUCION,1,CABA
2,trenes,25,0,48,BUENOS AIRES,2,CABA
2,trenes,25,0,525,DR. A. SÁENZ,3,CABA
2,trenes,25,0,427,VILLA SOLDATI,4,CABA
2,trenes,25,0,313,PTE. ILLIA,5,CABA
2,trenes,25,0,422,LUGANO,6,CABA
2,trenes,25,0,424,VILLA MADERO,7,CABA
2,trenes,25,0,260,MNOS. DEL FOURNIER,8,CABA
2,trenes,25,0,385,TAPIALES,9,CABA
2,trenes,25,0,181,ING. CASTELLO,10,CABA
2,trenes,25,0,321,QUERANDÍ,11,CABA
2,trenes,25,0,209,LAFERRERE,12,CABA
2,trenes,25,0,256,MARÍA E. DUARTE,13,CABA
2,trenes,25,0,178,PDA. INDEPENDENCIA,14,CABA
2,trenes,25,0,154,GONZALEZ CATAN,15,CABA
2,trenes,25,1,154,GONZALEZ CATAN,1,CABA
2,trenes,25,1,178,PDA. INDEPENDENCIA,2,CABA
2,trenes,25,1,256,MARÍA E. DUARTE,3,CABA
2,trenes,25,1,209,LAFERRERE,4,CABA
2,trenes,25,1,321,QUERANDÍ,5,CABA
2,trenes,25,1,181,ING. CASTELLO,6,CABA
2,trenes,25,1,385,TAPIALES,7,CABA
2,trenes,25,1,260,MNOS. DEL FOURNIER,8,CABA
2,trenes,25,1,424,VILLA MADERO,9,CABA
2,trenes,25,1,422,LUGANO,10,CABA
2,trenes,25,1,313,PTE. ILLIA,11,CABA
2,trenes,25,1,427,VILLA SOLDATI,12,CABA
2,trenes,25,1,525,DR. A. SÁENZ,13,CABA
2,trenes,25,1,48,BUENOS AIRES,14,CABA
2,trenes,25,1,93,PLAZA CONSTITUCION,15,CABA
2,trenes,21,0,93,PLAZA CONSTITUCION,1,CABA
2,trenes,21,0,48,BUENOS AIRES,2,CABA
2,trenes,21,0,121,DR. A. SÁENZ,3,CABA
2,trenes,21,0,427,VILLA SOLDATI,4,CABA
2,trenes,21,0,313,PTE. ILLIA,5,CABA
2,trenes,21,0,422,LUGANO,6,CABA
2,trenes,21,0,424,VILLA MADERO,7,CABA
2,trenes,21,0,260,MNOS. DEL FOURNIER,8,CABA
2,trenes,21,0,385,TAPIALES,9,CABA
2,trenes,21,0,12,ALDO BONZI,10,CABA
2,trenes,21,0,354,M. S. MENDEVILLE,11,CABA
2,trenes,21,0,195,JOSÉ INGENIEROS,12,CABA
2,trenes,21,0,203,JUSTO VILLEGAS,13,CABA
2,trenes,21,0,184,ISIDRO CASANOVA,14,CABA
2,trenes,21,0,325,RAFAEL CASTILLO,15,CABA
2,trenes,21,0,270,MERLO GÓMEZ,16,CABA
2,trenes,21,0,232,LIBERTAD,17,CABA
2,trenes,21,0,259,M. C. G. BELGRANO,18,CABA
2,trenes,21,1,259,M. C. G. BELGRANO,1,CABA
2,trenes,21,1,232,LIBERTAD,2,CABA
2,trenes,21,1,270,MERLO GÓMEZ,3,CABA
2,trenes,21,1,325,RAFAEL CASTILLO,4,CABA
2,trenes,21,1,184,ISIDRO CASANOVA,5,CABA
2,trenes,21,1,203,JUSTO VILLEGAS,6,CABA
2,trenes,21,1,195,JOSÉ INGENIEROS,7,CABA
2,trenes,21,1,354,M. S. MENDEVILLE,8,CABA
2,trenes,21,1,12,ALDO BONZI,9,CABA
2,trenes,21,1,385,TAPIALES,10,CABA
2,trenes,21,1,260,MNOS. DEL FOURNIER,11,CABA
2,trenes,21,1,424,VILLA MADERO,12,CABA
2,trenes,21,1,422,LUGANO,13,CABA
2,trenes,21,1,313,PTE. ILLIA,14,CABA
2,trenes,21,1,427,VILLA SOLDATI,15,CABA
2,trenes,21,1,121,DR. A. SÁENZ,16,CABA
2,trenes,21,1,48,BUENOS AIRES,17,CABA
2,trenes,21,1,93,PLAZA CONSTITUCION,18,CABA
3,trenes,9,0,332,Retiro,1,CABA
3,trenes,9,0,1,3 de Febrero,2,CABA
3,trenes,9,0,272,Mtro. Carranza,3,CABA
3,trenes,9,0,91,Colegiales,4,CABA
3,trenes,9,0,35,Belgrano R,5,CABA
3,trenes,9,0,236,L. M. Drago,6,CABA
3,trenes,9,0,150,Gral. Urquiza,7,CABA
3,trenes,9,0,318,Pueyrredon,8,CABA
3,trenes,9,0,271,Miguelete,9,CABA
3,trenes,9,0,360,San Martín,10,CABA
3,trenes,9,0,353,San Andrés,11,CABA
3,trenes,9,0,249,Malaver,12,CABA
3,trenes,9,0,412,V. Ballester,13,CABA
3,trenes,9,0,79,Chilavert,14,CABA
3,trenes,9,0,190,J L Suárez,15,CABA
3,trenes,9,1,190,J L Suárez,1,CABA
3,trenes,9,1,79,Chilavert,2,CABA
3,trenes,9,1,412,V. Ballester,3,CABA
3,trenes,9,1,249,Malaver,4,CABA
3,trenes,9,1,353,San Andrés,5,CABA
3,trenes,9,1,360,San Martín,6,CABA
3,trenes,9,1,271,Miguelete,7,CABA
3,trenes,9,1,318,Pueyrredon,8,CABA
3,trenes,9,1,150,Gral. Urquiza,9,CABA
3,trenes,9,1,236,L. M. Drago,10,CABA
3,trenes,9,1,35,Belgrano R,11,CABA
3,trenes,9,1,91,Colegiales,12,CABA
3,trenes,9,1,272,Mtro. Carranza,13,CABA
3,trenes,9,1,1,3 de Febrero,14,CABA
3,trenes,9,1,332,Retiro,15,CABA
3,trenes,35,0,412,V BALLESTER,1,CABA
3,trenes,35,0,29,BANCALARI,2,CABA
3,trenes,35,0,296,GRAL. PACHECO,3,CABA
3,trenes,35,0,37,BENAVIDEZ,4,CABA
3,trenes,35,0,263,ING. MASCHWITZ,5,CABA
3,trenes,35,0,130,ESCOBAR,6,CABA
3,trenes,35,0,335,RIO LUJAN,7,CABA
3,trenes,35,0,294,ING. OTAMENDI,8,CABA
3,trenes,35,0,55,CAMPANA,9,CABA
3,trenes,35,0,204,Kilometro 83,10,CABA
3,trenes,35,1,434,ZARATE,11,CABA
3,trenes,35,1,434,ZARATE,1,CABA
3,trenes,35,1,204,Kilometro 83,2,CABA
3,trenes,35,1,55,CAMPANA,3,CABA
3,trenes,35,1,294,ING. OTAMENDI,4,CABA
3,trenes,35,1,335,RIO LUJAN,5,CABA
3,trenes,35,1,130,ESCOBAR,6,CABA
3,trenes,35,1,263,ING. MASCHWITZ,7,CABA
3,trenes,35,1,37,BENAVIDEZ,8,CABA
3,trenes,35,1,296,GRAL. PACHECO,9,CABA
3,trenes,35,1,29,BANCALARI,10,CABA
3,trenes,35,1,412,V BALLESTER,11,CABA
4,trenes,25,0,93,PLAZA CONSTITUCION,1,CABA
4,trenes,25,0,48,BUENOS AIRES,2,CABA
4,trenes,25,0,525,DR. A. SÁENZ,3,CABA
4,trenes,25,0,427,VILLA SOLDATI,4,CABA
4,trenes,25,0,313,PTE. ILLIA,5,CABA
4,trenes,25,0,422,LUGANO,6,CABA
4,trenes,25,0,424,VILLA MADERO,7,CABA
4,trenes,25,0,260,MNOS. DEL FOURNIER,8,CABA
4,trenes,25,0,385,TAPIALES,9,CABA
4,trenes,25,0,181,ING. CASTELLO,10,CABA
4,trenes,25,0,321,QUERANDÍ,11,CABA
4,trenes,25,0,209,LAFERRERE,12,CABA
4,trenes,25,0,256,MARÍA E. DUARTE,13,CABA
4,trenes,25,0,178,PDA. INDEPENDENCIA,14,CABA
4,trenes,25,0,154,GONZALEZ CATAN,15,CABA
4,trenes,25,1,154,GONZALEZ CATAN,1,CABA
4,trenes,25,1,178,PDA. INDEPENDENCIA,2,CABA
4,trenes,25,1,256,MARÍA E. DUARTE,3,CABA
4,trenes,25,1,209,LAFERRERE,4,CABA
4,trenes,25,1,321,QUERANDÍ,5,CABA
4,trenes,25,1,181,ING. CASTELLO,6,CABA
4,trenes,25,1,385,TAPIALES,7,CABA
4,trenes,25,1,260,MNOS. DEL FOURNIER,8,CABA
4,trenes,25,1,424,VILLA MADERO,9,CABA
4,trenes,25,1,422,LUGANO,10,CABA
4,trenes,25,1,313,PTE. ILLIA,11,CABA
4,trenes,25,1,427,VILLA SOLDATI,12,CABA
4,trenes,25,1,525,DR. A. SÁENZ,13,CABA
4,trenes,25,1,48,BUENOS AIRES,14,CABA
4,trenes,25,1,93,PLAZA CONSTITUCION,15,CABA
4,trenes,21,0,93,PLAZA CONSTITUCION,1,CABA
4,trenes,21,0,48,BUENOS AIRES,2,CABA
4,trenes,21,0,121,DR. A. SÁENZ,3,CABA
4,trenes,21,0,427,VILLA SOLDATI,4,CABA
4,trenes,21,0,313,PTE. ILLIA,5,CABA
4,trenes,21,0,422,LUGANO,6,CABA
4,trenes,21,0,424,VILLA MADERO,7,CABA
